frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len,_ws.col.protocol,_ws.col.info
82,Apr 21, 2024 13:13:04.862111000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [PSH, ACK] Seq=294913 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
83,Apr 21, 2024 13:13:04.862147000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [ACK] Seq=327681 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
84,Apr 21, 2024 13:13:04.862149000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [PSH, ACK] Seq=360449 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
85,Apr 21, 2024 13:13:04.862153000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [ACK] Seq=393217 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
86,Apr 21, 2024 13:13:04.862156000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [PSH, ACK] Seq=425985 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
87,Apr 21, 2024 13:13:04.862159000 EDT,127.0.0.1,127.0.0.1,1887,37261,,,,,32834,TCP,1887 → 37261 [ACK] Seq=458753 Ack=1 Win=512 Len=32768 TSval=3719264120 TSecr=3719264120
88,Apr 21, 2024 13:13:04.862217000 EDT,127.0.0.1,127.0.0.1,1887,57115,,,,,32834,TCP,1887 → 57115 [ACK] Seq=1 Ack=1 Win=512 Len=32768 TSval=3719264121 TSecr=3718876655
89,Apr 21, 2024 13:13:04.862247000 EDT,127.0.0.1,127.0.0.1,1887,57115,,,,,32834,TCP,1887 → 57115 [PSH, ACK] Seq=32769 Ack=1 Win=512 Len=32768 TSval=3719264121 TSecr=3718876655
90,Apr 21, 2024 13:13:04.862415000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,32834,TCP,1887 → 36619 [ACK] Seq=1 Ack=1 Win=512 Len=32768 TSval=3719264121 TSecr=3718894677
91,Apr 21, 2024 13:13:04.862445000 EDT,127.0.0.1,127.0.0.1,1887,36619,,,,,32834,TCP,1887 → 36619 [PSH, ACK] Seq=32769 Ack=1 Win=512 Len=32768 TSval=3719264121 TSecr=3718894677
92,Apr 21, 2024 13:13:04.862620000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 54727 [ACK] Seq=1000031 Ack=9 Win=512 Len=65483 TSval=3719264121 TSecr=3719264113
93,Apr 21, 2024 13:13:04.862662000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=1065514 Ack=9 Win=512 Len=65483 TSval=3719264121 TSecr=3719264113
94,Apr 21, 2024 13:13:04.862690000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=1130997 Ack=9 Win=512 Len=65483 TSval=3719264121 TSecr=3719264113
95,Apr 21, 2024 13:13:04.862723000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=1196480 Ack=9 Win=512 Len=65483 TSval=3719264121 TSecr=3719264113
96,Apr 21, 2024 13:13:04.862753000 EDT,127.0.0.1,127.0.0.1,1887,54727,,,,,65549,TCP,1887 → 54727 [ACK] Seq=1261963 Ack=9 Win=512 Len=65483 TSval=3719264121 TSecr=3719264113
97,Apr 21, 2024 13:13:04.863408000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 56173 [ACK] Seq=500016 Ack=5 Win=512 Len=65483 TSval=3719264122 TSecr=3719264115
98,Apr 21, 2024 13:13:04.863441000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=565499 Ack=5 Win=512 Len=65483 TSval=3719264122 TSecr=3719264115
99,Apr 21, 2024 13:13:04.863472000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=630982 Ack=5 Win=512 Len=65483 TSval=3719264122 TSecr=3719264115
100,Apr 21, 2024 13:13:04.863500000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=696465 Ack=5 Win=512 Len=65483 TSval=3719264122 TSecr=3719264115
101,Apr 21, 2024 13:13:04.863529000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=761948 Ack=5 Win=512 Len=65483 TSval=3719264122 TSecr=3719264115
102,Apr 21, 2024 13:13:04.863557000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=827431 Ack=5 Win=512 Len=65483 TSval=3719264122 TSecr=3719264115
103,Apr 21, 2024 13:13:04.863587000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,65549,TCP,1887 → 56173 [ACK] Seq=892914 Ack=5 Win=512 Len=65483 TSval=3719264122 TSecr=3719264115
104,Apr 21, 2024 13:13:04.863604000 EDT,127.0.0.1,127.0.0.1,1887,56173,,,,,41700,TCP,1887 → 56173 [PSH, ACK] Seq=958397 Ack=5 Win=512 Len=41634 TSval=3719264122 TSecr=3719264115
105,Apr 21, 2024 13:13:04.863848000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,65549,TCP,[TCP Previous segment not captured] 1887 → 49997 [ACK] Seq=1500046 Ack=13 Win=512 Len=65483 TSval=3719264122 TSecr=3719264115
106,Apr 21, 2024 13:13:04.863879000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,65549,TCP,1887 → 49997 [ACK] Seq=1565529 Ack=13 Win=512 Len=65483 TSval=3719264122 TSecr=3719264115
107,Apr 21, 2024 13:13:04.863909000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,65549,TCP,1887 → 49997 [ACK] Seq=1631012 Ack=13 Win=512 Len=65483 TSval=3719264122 TSecr=3719264115
108,Apr 21, 2024 13:13:04.863934000 EDT,127.0.0.1,127.0.0.1,1887,49997,,,,,65549,TCP,1887 → 49997 [ACK] Seq=1696495 Ack=13 Win=512 Len=65483 TSval=3719264122 TSecr=3719264115
